Day #1: Collected 15 wood, 10 brick, and 2 metal.
Day #2: Collected 0 wood, 200 brick, and 10 metal.
Day #3: Collected 250 wood, 10 brick, and 15 metal.
Collected a total of 265 wood, 220 brick, and 27 metal!

Day #1: Collected 0 wood, 0 brick, and 0 metal.
Collected a total of 0 wood, 0 brick, and 0 metal!

Day #1: Collected 500 wood, 200 brick, and 30 metal.
Day #2: Collected 500 wood, 200 brick, and 30 metal.
Day #3: Collected 500 wood, 200 brick, and 30 metal.
Day #4: Collected 500 wood, 200 brick, and 30 metal.
Day #5: Collected 500 wood, 200 brick, and 30 metal.
Day #6: Collected 500 wood, 200 brick, and 30 metal.
Day #7: Collected 500 wood, 200 brick, and 30 metal.
Day #8: Collected 500 wood, 200 brick, and 30 metal.
Day #9: Collected 500 wood, 200 brick, and 30 metal.
Day #10: Collected 500 wood, 200 brick, and 30 metal.
Day #11: Collected 500 wood, 200 brick, and 30 metal.
Day #12: Collected 500 wood, 200 brick, and 30 metal.
Day #13: Collected 500 wood, 200 brick, and 30 metal.
Day #14: Collected 500 wood, 200 brick, and 30 metal.
Day #15: Collected 500 wood, 200 brick, and 30 metal.
Day #16: Collected 500 wood, 200 brick, and 30 metal.
Day #17: Collected 500 wood, 200 brick, and 30 metal.
Day #18: Collected 500 wood, 200 brick, and 30 metal.
Day #19: Collected 500 wood, 200 brick, and 30 metal.
Day #20: Collected 500 wood, 200 brick, and 30 metal.
Day #21: Collected 500 wood, 200 brick, and 30 metal.
Day #22: Collected 500 wood, 200 brick, and 30 metal.
Day #23: Collected 500 wood, 200 brick, and 30 metal.
Day #24: Collected 500 wood, 200 brick, and 30 metal.
Day #25: Collected 500 wood, 200 brick, and 30 metal.
Day #26: Collected 500 wood, 200 brick, and 30 metal.
Day #27: Collected 500 wood, 200 brick, and 30 metal.
Day #28: Collected 500 wood, 200 brick, and 30 metal.
Day #29: Collected 500 wood, 200 brick, and 30 metal.
Day #30: Collected 500 wood, 200 brick, and 30 metal.
Day #31: Collected 500 wood, 200 brick, and 30 metal.
Collected a total of 15500 wood, 6200 brick, and 930 metal!

